wavelength,Quantum efficiency,normalized QE,inflection point
nm,[%],[ ],nm
PBDB-T:F-M 190nm,PBDB-T:F-M 190nm,PBDB-T:F-M 190nm,PBDB-T:F-M 190nm
713,40.842684,0.552480642804967,712.6
714,39.038112,0.528070124178232,712.6
715,37.23354,0.503659605551497,712.6
716,35.428968,0.479249086924763,712.6
717,33.624396,0.454838568298028,712.6
718,31.819824,0.430428049671293,712.6
719,30.015252,0.406017531044558,712.6
720,28.21068,0.381607012417823,712.6
721,26.69436,0.361095690284879,712.6
722,25.17804,0.340584368151936,712.6
723,23.66172,0.320073046018992,712.6
724,22.1454,0.299561723886048,712.6
725,20.62908,0.279050401753104,712.6
726,19.11276,0.258539079620161,712.6
727,17.59644,0.238027757487217,712.6
728,16.08012,0.217516435354273,712.6
729,14.5638,0.197005113221329,712.6
730,13.04748,0.176493791088386,712.6
731,12.2848056,0.166177063550037,712.6
732,11.5221312,0.155860336011687,712.6
733,10.7594568,0.145543608473338,712.6
734,9.9967824,0.135226880934989,712.6
735,9.234108,0.12491015339664,712.6
736,8.4714336,0.114593425858291,712.6
737,7.7087592,0.104276698319942,712.6
738,6.9460848,0.0939599707815924,712.6
739,6.1834104,0.0836432432432432,712.6
740,5.420736,0.0733265157048941,712.6
741,5.097708,0.0689569028487947,712.6
742,4.77468,0.0645872899926954,712.6
743,4.451652,0.0602176771365961,712.6
744,4.128624,0.0558480642804967,712.6
745,3.805596,0.0514784514243974,712.6
746,3.482568,0.047108838568298,712.6
747,3.15954,0.0427392257121987,712.6
748,2.836512,0.0383696128560993,712.6
749,2.513484,0.034,712.6
750,2.190456,0.0296303871439007,712.6
751,2.06112816,0.0278809642074507,712.6
752,1.93180032,0.0261315412710007,712.6
753,1.80247248,0.0243821183345508,712.6
754,1.67314464,0.0226326953981008,712.6
755,1.5438168,0.0208832724616508,712.6
756,1.41448896,0.0191338495252009,712.6
757,1.28516112,0.0173844265887509,712.6
758,1.15583328,0.0156350036523009,712.6
759,1.02650544,0.013885580715851,712.6
760,0.8971776,0.012136157779401,712.6
761,0.86670324,0.0117239298758218,712.6
762,0.83622888,0.0113117019722425,712.6
763,0.80575452,0.0108994740686633,712.6
764,0.77528016,0.010487246165084,712.6
765,0.7448058,0.0100750182615047,712.6
766,0.71433144,0.00966279035792549,712.6
767,0.68385708,0.00925056245434624,712.6
768,0.65338272,0.00883833455076698,712.6
769,0.62290836,0.00842610664718773,712.6
770,0.592434,0.00801387874360847,712.6
771,0.5508648,0.00745157048940833,712.6
772,0.5092956,0.00688926223520818,712.6
773,0.4677264,0.00632695398100803,712.6
774,0.4261572,0.00576464572680789,712.6
775,0.384588,0.00520233747260774,712.6
776,0.3430188,0.0046400292184076,712.6
777,0.3014496,0.00407772096420745,712.6
778,0.2598804,0.0035154127100073,712.6
779,0.2183112,0.00295310445580716,712.6
780,0.176742,0.00239079620160701,712.6
781,0.164943216,0.00223119357195033,712.6
782,0.153144432,0.00207159094229364,712.6
783,0.141345648,0.00191198831263696,712.6
784,0.129546864,0.00175238568298028,712.6
785,0.11774808,0.00159278305332359,712.6
786,0.105949296,0.00143318042366691,712.6
787,0.094150512,0.00127357779401023,712.6
788,0.082351728,0.00111397516435354,712.6
789,0.070552944,0.000954372534696859,712.6
790,0.05875416,0.000794769905040175,712.6
791,0.05874552,0.000794653031409788,712.6
792,0.05873688,0.000794536157779401,712.6
793,0.05872824,0.000794419284149014,712.6
794,0.0587196,0.000794302410518627,712.6
795,0.05871096,0.00079418553688824,712.6
796,0.05870232,0.000794068663257852,712.6
797,0.05869368,0.000793951789627465,712.6
798,0.05868504,0.000793834915997078,712.6
799,0.0586764,0.000793718042366691,712.6
800,0.05866776,0.000793601168736304,712.6
801,0.070385544,0.000952108108108108,712.6
802,0.082103328,0.00111061504747991,712.6
803,0.093821112,0.00126912198685172,712.6
804,0.105538896,0.00142762892622352,712.6
805,0.11725668,0.00158613586559532,712.6
806,0.128974464,0.00174464280496713,712.6
807,0.140692248,0.00190314974433893,712.6
808,0.152410032,0.00206165668371074,712.6
809,0.164127816,0.00222016362308254,712.6
810,0.1758456,0.00237867056245435,712.6
811,0.16985052,0.00229757487216947,712.6
812,0.16385544,0.00221647918188459,712.6
813,0.15786036,0.00213538349159971,712.6
814,0.15186528,0.00205428780131483,712.6
815,0.1458702,0.00197319211102995,712.6
816,0.13987512,0.00189209642074507,712.6
817,0.13388004,0.00181100073046019,712.6
818,0.12788496,0.00172990504017531,712.6
819,0.12188988,0.00164880934989043,712.6
820,0.1158948,0.00156771365960555,712.6
821,0.12179592,0.00164753834915997,712.6
822,0.12769704,0.00172736303871439,712.6
823,0.13359816,0.00180718772826881,712.6
824,0.13949928,0.00188701241782323,712.6
825,0.1454004,0.00196683710737765,712.6
826,0.15130152,0.00204666179693207,712.6
827,0.15720264,0.00212648648648649,712.6
828,0.16310376,0.00220631117604091,712.6
829,0.16900488,0.00228613586559532,712.6
830,0.174906,0.00236596055514974,712.6
831,0.17465652,0.00236258582907232,712.6
832,0.17440704,0.00235921110299489,712.6
833,0.17415756,0.00235583637691746,712.6
834,0.17390808,0.00235246165084003,712.6
835,0.1736586,0.0023490869247626,712.6
836,0.17340912,0.00234571219868517,712.6
837,0.17315964,0.00234233747260774,712.6
838,0.17291016,0.00233896274653031,712.6
839,0.17266068,0.00233558802045289,712.6
840,0.1724112,0.00233221329437546,712.6
841,0.17722692,0.00239735573411249,712.6
842,0.18204264,0.00246249817384953,712.6
843,0.18685836,0.00252764061358656,712.6
844,0.19167408,0.00259278305332359,712.6
845,0.1964898,0.00265792549306063,712.6
846,0.20130552,0.00272306793279766,712.6
847,0.20612124,0.0027882103725347,712.6
